개방자치단체코드,관리번호,관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치연월,관리기관전화번호,WGS84위도,WGS84경도,데이터기준일자,데이터갱신구분,데이터갱신시점,최종수정시점
3491000,202534910000800214,인천광역시 영종구청,인천광역시 영종구 백운로186번길 119,인천광역시 영종구 운북동 1257-95,생활방범,2,200,인천광역시 영종구청,30,202106,032-760-7804,37.51297917,126.5419772,2025-11-10,I,2026-07-14 13:16:04,2025-11-10 19:44:52
3491000,202534910000800215,인천광역시 영종구청,인천광역시 영종구 백운로228번길 211,인천광역시 영종구 운북동 177-20,생활방범,2,200,인천광역시 영종구청,30,202106,032-760-7804,37.51646089,126.5371813,2025-11-10,I,2026-07-14 13:16:04,2025-11-10 19:44:52
3491000,202534910000800216,인천광역시 영종구청,인천광역시 영종구 논골길 51,인천광역시 영종구 운북동 168-84,생활방범,3,200,인천광역시 영종구청,30,202106,032-760-7804,37.51292441,126.5375444,2025-11-10,I,2026-07-14 13:16:04,2025-11-10 19:44:52
3491000,202534910000800217,인천광역시 영종구청,인천광역시 영종구 백운로228번길 198,인천광역시 영종구 운북동 169,생활방범,2,200,인천광역시 영종구청,30,202106,032-760-7804,37.51613768,126.5358189,2025-11-10,I,2026-07-14 13:16:04,2025-11-10 19:44:52
3491000,202534910000800218,인천광역시 영종구청,인천광역시 영종구 백운로228번길 188-72,인천광역시 영종구 운북동 13-9,생활방범,2,200,인천광역시 영종구청,30,202106,032-760-7804,37.51356598,126.5347833,2025-11-10,I,2026-07-14 13:16:04,2025-11-10 19:44:52
3491000,202534910000800219,인천광역시 영종구청,인천광역시 영종구 백운로228번길 176,인천광역시 영종구 운북동 13-24,생활방범,3,200,인천광역시 영종구청,30,202103,032-760-7804,37.51481587,126.5338539,2025-11-10,I,2026-07-14 13:16:04,2025-11-10 19:44:52
3491000,202534910000800220,인천광역시 영종구청,인천광역시 영종구 백운로228번길 126-8,인천광역시 영종구 운북동 134,생활방범,2,200,인천광역시 영종구청,30,202101,032-760-7804,37.51245437,126.5287084,2025-11-10,I,2026-07-14 13:16:04,2025-11-10 19:44:52
3491000,202534910000800221,인천광역시 영종구청,인천광역시 영종구 백운로228번길 98,인천광역시 영종구 운북동 132-11,생활방범,2,200,인천광역시 영종구청,30,202101,032-760-7804,37.51147094,126.5264316,2025-11-10,I,2026-07-14 13:16:04,2025-11-10 19:44:52
3491000,202534910000800236,인천광역시 영종구청,인천광역시 영종구 흰바위로 13,인천광역시 영종구 운서동 2787-2,생활방범,3,200,인천광역시 영종구청,30,202006,032-760-7804,37.49354766,126.4870245,2025-11-10,I,2026-07-14 13:16:04,2025-11-10 19:44:53
3491000,202534910000800100,인천광역시 영종구청,인천광역시 영종구 소무의로 16,인천광역시 영종구 무의동 972,생활방범,1,200,인천광역시 영종구청,30,202311,032-760-7804,37.37311188,126.4421178,2025-11-10,I,2026-07-14 13:16:03,2025-11-10 19:44:52
3491000,202534910000800101,인천광역시 영종구청,인천광역시 영종구 소무의로 5,인천광역시 영종구 무의동 998-13,생활방범,2,200,인천광역시 영종구청,30,202311,032-760-7804,37.37400746,126.4417042,2025-11-10,I,2026-07-14 13:16:03,2025-11-10 19:44:52
3491000,202534910000800102,인천광역시 중구청,인천광역시 중구 영종대로 77,인천광역시 중구 영종대로 77,생활방범,3,200,360도전방면,30,202212,032-760-7804,37.49564469,126.4875476,2025-11-10,I,2026-07-14 13:16:03,2025-11-10 19:44:52
3491000,202534910000800103,인천광역시 중구청,인천광역시 중구 영종대로 77,인천광역시 중구 영종대로 77,생활방범,3,200,360도전방면,30,202212,032-760-7804,37.49564469,126.4875476,2025-11-10,I,2026-07-14 13:16:03,2025-11-10 19:44:52
3491000,202534910000800104,인천광역시 영종구청,인천광역시 영종구 늘목로22번길 57-8,인천광역시 영종구 을왕동 146-32,생활방범,1,200,인천광역시 영종구청,30,202212,032-760-7804,37.45060492,126.4013651,2025-11-10,I,2026-07-14 13:16:03,2025-11-10 19:44:52
3491000,202534910000800105,인천광역시 영종구청,인천광역시 영종구 백운로254번길 80-21,인천광역시 영종구 운북동 78-2,생활방범,2,200,인천광역시 영종구청,30,202212,032-760-7804,37.50865764,126.5313277,2025-11-10,I,2026-07-14 13:16:03,2025-11-10 19:44:52
3491000,202534910000800106,인천광역시 영종구청,인천광역시 영종구 백운로109번길 36,인천광역시 영종구 운남동 산 3-6,생활방범,1,200,인천광역시 영종구청,30,202212,032-760-7804,37.5022114,126.5411912,2025-11-10,I,2026-07-14 13:16:03,2025-11-10 19:44:52
